Stock1,Stock2,EntryThreshold,ExitThreshold,PercentageGain
GOOGL,GOOG,2.6000000000000014,0.0,0.38795356635869593
NWS,NWSA,2.8000000000000016,0.0,0.9860460148301236
FOXA,FOX,2.8000000000000016,0.30000000000000004,0.8701498038673104
NCLH,CCL,2.7000000000000015,0.0,2.8766463175070123
LEN,DHI,2.6000000000000014,0.7000000000000001,2.4039776448213663
COP,FANG,2.8000000000000016,0.0,3.5889201984906824
AME,TEL,2.5000000000000013,0.1,3.6175460588764135
FDX,DE,2.9000000000000017,0.5,2.8308438085975505
TFC,CMA,2.7000000000000015,0.8,3.318533903693624
CMA,USB,2.7000000000000015,0.6000000000000001,2.447903326205518
SLB,CCL,2.6000000000000014,0.0,9.41780934566323
TFC,MET,2.8000000000000016,0.0,2.5530845185297304
SPG,FRT,2.4000000000000012,0.2,1.4523141365944214
GLW,CARR,2.300000000000001,0.0,2.5349140163294295
USB,ALK,2.9000000000000017,0.0,7.9067317453684005
CMA,ALK,2.9000000000000017,0.0,10.594511930892788
MAR,JPM,2.8000000000000016,0.7000000000000001,4.130076328631178
SLB,NCLH,1.0,0.4,0.6922976903092062
CMI,SHW,2.300000000000001,0.0,5.697555987266051
EL,PH,1.9000000000000008,0.0,1.31370372729707
APTV,TEL,2.8000000000000016,0.2,3.526654276998324
CMI,DHR,2.9000000000000017,0.30000000000000004,3.9250476802254934
LIN,ACN,2.6000000000000014,0.0,3.5241680853325588
QRVO,PKI,1.7000000000000006,0.0,4.364731284369623
UNP,IEX,2.6000000000000014,0.0,2.4923102592765747
AME,CE,2.8000000000000016,0.4,8.966167604464038
CMI,CRL,2.9000000000000017,0.30000000000000004,5.554439285805548
FITB,MGM,2.9000000000000017,0.5,4.729367172005445
SHW,CRL,1.7000000000000006,0.0,2.722432426656947
AFL,USB,2.9000000000000017,0.9,5.509144808717205
MAR,AXP,2.9000000000000017,0.6000000000000001,8.675452427867036
DHR,CRL,2.200000000000001,0.0,4.047899053593327
PRU,RCL,2.9000000000000017,0.0,5.79591557061225
CDNS,ETSY,2.200000000000001,0.0,6.927735883394805
FRT,BXP,2.7000000000000015,0.0,3.087299334493863
SLB,OXY,1.8000000000000007,0.9,0.9228597954752544
AME,ETN,2.6000000000000014,0.0,7.315773877664146
MTCH,A,2.9000000000000017,0.0,18.615614573121924
SWKS,LOW,2.9000000000000017,0.0,5.103702956853641
QCOM,A,2.8000000000000016,0.0,5.89114916570301
USB,L,2.7000000000000015,0.0,3.2411404920110938
FANG,XOM,2.4000000000000012,0.0,1.5415602968276025
HIG,L,2.200000000000001,0.0,3.506927329994048
COP,XOM,2.8000000000000016,0.1,3.2340099278634944
ETN,TEL,2.6000000000000014,0.0,4.333514768401723
TSCO,AMZN,2.5000000000000013,0.1,4.105162842526839
PPG,NXPI,2.7000000000000015,0.5,6.3360024694146535
CCL,OXY,2.8000000000000016,0.0,12.067915698297671
AXP,JPM,2.9000000000000017,0.0,3.123035252370934
POOL,EPAM,2.7000000000000015,0.0,8.152574922354558
TFC,USB,2.9000000000000017,0.0,7.034315894114505
NSC,UNP,2.9000000000000017,0.6000000000000001,2.7080779468242366
MET,PFG,2.9000000000000017,0.8,2.089773792672546
TRV,CB,2.6000000000000014,0.0,1.9642839151137355
MET,CMA,2.9000000000000017,0.0,5.740517053503503
TXN,CAT,2.7000000000000015,0.0,3.7350214532885193
SHW,ISRG,1.6000000000000005,0.2,3.481743145298032
HIG,USB,2.9000000000000017,0.5,5.217245469141148
CFG,SYF,2.8000000000000016,0.0,13.463599048367811
TTWO,PYPL,2.7000000000000015,0.6000000000000001,5.23762654785548
HLT,DRI,2.9000000000000017,0.0,4.817101857944669
SNPS,CRL,2.5000000000000013,0.1,3.6035683476922133
AFL,ALK,2.000000000000001,0.5,0.9839368651805167
APH,MCHP,2.300000000000001,0.0,3.4348170321577323
ZTS,WHR,2.7000000000000015,0.9,2.265770014448518
LNC,MET,2.7000000000000015,0.1,3.1723934866396157
VRSK,CRL,2.8000000000000016,0.30000000000000004,4.825255853522779
CRL,ISRG,2.7000000000000015,0.0,3.868170528931747
LYB,EMR,2.100000000000001,0.0,3.531670388677465
DVA,ALB,2.7000000000000015,0.2,4.1970279499097725
PNR,ADM,2.9000000000000017,0.8,3.4110378892625843
AIG,ZION,2.9000000000000017,0.2,7.962697058912433
MTCH,PKI,2.100000000000001,0.0,5.451511906502192
ODFL,PYPL,2.4000000000000012,0.0,7.596102923599093
QCOM,NKE,2.9000000000000017,0.0,5.261456587549791
NOW,ADBE,2.8000000000000016,0.2,2.958910952442646
AAPL,NVDA,2.4000000000000012,0.0,3.931455527913794
LUV,ALK,2.8000000000000016,0.2,3.545595941706217
SNPS,MSFT,2.300000000000001,0.0,2.900140069556996
CMI,ITW,2.100000000000001,0.2,1.269385417706888
AFL,HIG,2.9000000000000017,0.30000000000000004,5.779237034573416
NSC,PH,2.8000000000000016,0.9,5.961547963337317
GWW,AVGO,2.6000000000000014,0.0,4.885190219429321
MS,MCHP,2.6000000000000014,0.0,4.059599625013714
DOV,CE,2.9000000000000017,0.0,4.077174524353599
C,OMC,1.6000000000000005,0.30000000000000004,1.1644525305587567
CMA,XRAY,2.4000000000000012,0.8,2.9032733557086505
NUE,DOW,2.5000000000000013,0.0,3.986429772783174
MTCH,QCOM,1.9000000000000008,0.0,3.589146498839837
CARR,PARA,2.8000000000000016,0.0,7.08315784875945
UAL,HIG,2.9000000000000017,0.0,3.8408699068373955
ODFL,SNPS,2.4000000000000012,0.30000000000000004,6.107725154909076
UAL,USB,2.8000000000000016,0.7000000000000001,7.945699458279325
CFG,BAC,1.7000000000000006,0.9,0.530438960502041
HST,KEY,2.200000000000001,0.1,3.159612407499665
AVGO,INTU,2.7000000000000015,0.0,5.134803109140804
DAL,ACGL,2.8000000000000016,0.1,7.3919708581518195
UAL,ALK,1.6000000000000005,0.2,3.8530542297081376
HIG,ALK,2.8000000000000016,0.6000000000000001,2.174504840353593
CSX,CARR,2.6000000000000014,0.9,1.5617206572685778
QCOM,PKI,2.5000000000000013,0.0,4.33615714369627
TMO,NOW,2.9000000000000017,0.0,5.721267339584711
PCAR,MAS,2.9000000000000017,0.0,2.9647674518858023
SWK,AMP,2.6000000000000014,0.0,4.227306763723066
LNC,AFL,2.8000000000000016,0.0,6.564626973530088
RL,SPG,2.4000000000000012,0.1,4.760803052487036
L,ALK,2.8000000000000016,0.6000000000000001,5.10508195420763
CDNS,AAPL,2.8000000000000016,0.0,3.8946537190960084
DHR,SNPS,2.9000000000000017,0.0,3.1455409162423136
IP,WRK,2.300000000000001,0.0,2.135475112510904
ZTS,LOW,2.6000000000000014,0.0,2.7151981568725243
UNP,ITW,2.5000000000000013,0.0,2.7158218180915035
LNC,MPC,2.9000000000000017,0.0,4.94661408891044
LYV,DFS,2.7000000000000015,0.0,15.207808214414811
SNA,AMP,2.000000000000001,0.0,4.276486887500954
OTIS,DHI,2.5000000000000013,0.0,5.198569352435756
MOS,AES,2.5000000000000013,0.1,4.511235791733389
ANSS,EPAM,2.6000000000000014,0.0,4.345054312664144
ANSS,INTU,2.7000000000000015,0.0,2.2608984983583076
LYV,RJF,2.7000000000000015,0.30000000000000004,7.928201012403886
CBRE,RJF,2.9000000000000017,0.0,10.529611128680525
KIM,KEY,2.7000000000000015,0.0,8.914727203605711
XRAY,ALK,2.7000000000000015,0.8,2.3044178832965496
PRU,STT,1.9000000000000008,0.2,1.6181811984131684
CDNS,NVDA,1.0,0.9,-0.05205029938298708
TFC,ALK,2.9000000000000017,0.0,10.675004439880137
AIG,MPC,2.6000000000000014,0.6000000000000001,2.794508304131845
NSC,ITW,2.7000000000000015,0.0,3.714120628508683
IEX,ITW,2.7000000000000015,0.0,3.2312855734423116
AFL,L,2.4000000000000012,0.0,7.766231237316787
MET,AFL,2.7000000000000015,0.0,9.709739158588825
CMI,VRSK,2.4000000000000012,0.1,3.4870709287952932
MET,ALK,2.9000000000000017,0.0,4.080677525931312
ZION,BK,2.8000000000000016,0.2,2.9920901354502867
PPG,DOV,2.6000000000000014,0.0,4.977448398482404
ETSY,TSLA,2.5000000000000013,0.2,10.073180111517289
STT,WAB,2.7000000000000015,0.0,4.8382003266780975
PRU,WAB,1.1,0.2,1.6241008406234505
